Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2010-08-06,479.24,479.81,474.3,474.9,475.07,9603072.42,45746.41
2010-08-05,484.49,486.27,477.42,478.82,478.37,8810081.98,42373.37
2010-08-04,488.31,489.74,480.98,482.55,482.64,8814995.52,42629.04
2010-08-03,484.11,489.7,481.67,488.15,488.2,9674415.7,47132.81
2010-08-02,482.62,485.37,480.43,482.93,481.93,6100313.58,29433.68
2010-07-30,482.12,484.68,478.46,479.29,479.6,9259559.94,44553.51
2010-07-29,488.55,488.55,478.82,481.28,479.83,22271362.28,107363.19
2010-07-28,504.94,510.0,483.57,484.63,485.11,25469283.36,125319.51
2010-07-27,502.97,504.06,499.29,500.19,500.43,5838777.72,29292.9
2010-07-26,505.18,507.03,498.89,499.74,500.24,4385656.26,22042.71
2010-07-23,505.39,508.69,501.99,503.04,503.73,6635955.42,33553.42
2010-07-22,502.76,503.92,497.63,502.99,503.04,7641603.08,38254.91
2010-07-21,502.99,504.94,501.45,502.42,502.76,4727791.96,23782.16
2010-07-20,502.09,506.32,498.34,498.53,500.17,3293956.28,16566.28
2010-07-19,502.61,506.32,500.57,501.48,501.64,4720006.92,23751.01
2010-07-16,508.77,510.17,503.52,505.18,504.92,4224839.72,21359.47
2010-07-15,509.19,513.44,507.36,509.22,509.91,6677931.1,34059.04
2010-07-14,513.02,519.88,506.96,507.41,508.48,7685088.18,39252.12
2010-07-13,502.21,511.95,502.21,510.5,510.31,7239043.82,36740.55
2010-07-12,503.52,507.29,499.74,502.02,501.74,6045790.88,30411.59
2010-07-09,505.39,506.37,500.45,501.71,502.4,6243711.66,31383.0
2010-07-08,503.52,508.06,501.26,502.04,502.14,5763941.92,29086.4
2010-07-07,510.17,510.55,499.24,499.96,500.45,6611200.34,33299.21
2010-07-06,506.13,513.92,506.13,508.27,510.12,4453643.84,22748.13
2010-07-05,508.27,509.76,504.8,507.46,507.46,3079537.02,15623.32
2010-07-02,511.12,514.89,506.04,507.06,507.77,5268711.56,26901.05
2010-07-01,514.92,516.04,506.61,511.12,511.24,6405397.66,32707.18
2010-06-30,503.52,519.64,502.33,517.36,517.7,12818399.34,66064.93
